value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label
941775,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
302,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
103706,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107110,産業別_飲食店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
X,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107120,産業別_旅館・ホテル_自社開拓加盟店数_【店】,2019000000,2019
141083,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107130,産業別_旅館・ホテル_年間売上高（年間取扱高）_【百万円】,2019000000,2019
X,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107140,産業別_その他_自社開拓加盟店数_【店】,2019000000,2019
1789813,47,クレジットカード業，割賦金融業,00030,全数,01003030,資本金規模別_１億円以上１０億円未満,000107150,産業別_その他_年間売上高（年間取扱高）_【百万円】,2019000000,2019
10,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107010,企業数,2019000000,2019
941522,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
10001974,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
236721,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107040,産業別_小売業_計_自社開拓加盟店数_【店】,2019000000,2019
4700185,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107050,産業別_小売業_計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
38077,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107060,産業別_小売業_百貨店、総合スーパー_自社開拓加盟店数_【店】,2019000000,2019
2414451,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107070,産業別_小売業_百貨店、総合スーパー_年間売上高（年間取扱高）_【百万円】,2019000000,2019
198644,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107080,産業別_小売業_その他の小売店_自社開拓加盟店数_【店】,2019000000,2019
2285735,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
81900,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
66436,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107110,産業別_飲食店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
12817,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107120,産業別_旅館・ホテル_自社開拓加盟店数_【店】,2019000000,2019
101902,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107130,産業別_旅館・ホテル_年間売上高（年間取扱高）_【百万円】,2019000000,2019
610084,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107140,産業別_その他_自社開拓加盟店数_【店】,2019000000,2019
5133450,47,クレジットカード業，割賦金融業,00030,全数,01003040,資本金規模別_１０億円以上,000107150,産業別_その他_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107010,企業数,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107040,産業別_小売業_計_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107050,産業別_小売業_計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107060,産業別_小売業_百貨店、総合スーパー_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107070,産業別_小売業_百貨店、総合スーパー_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107080,産業別_小売業_その他の小売店_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107110,産業別_飲食店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107120,産業別_旅館・ホテル_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107130,産業別_旅館・ホテル_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107140,産業別_その他_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01003050,資本金規模別_資本金なし,000107150,産業別_その他_年間売上高（年間取扱高）_【百万円】,2019000000,2019
21,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107010,企業数,2019000000,2019
942500,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
14550139,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
236899,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107040,産業別_小売業_計_自社開拓加盟店数_【店】,2019000000,2019
6860922,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107050,産業別_小売業_計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
38105,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107060,産業別_小売業_百貨店、総合スーパー_自社開拓加盟店数_【店】,2019000000,2019
3576421,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107070,産業別_小売業_百貨店、総合スーパー_年間売上高（年間取扱高）_【百万円】,2019000000,2019
198794,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107080,産業別_小売業_その他の小売店_自社開拓加盟店数_【店】,2019000000,2019
3284501,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107090,産業別_小売業_その他の小売店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
82203,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107100,産業別_飲食店_自社開拓加盟店数_【店】,2019000000,2019
177495,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107110,産業別_飲食店_年間売上高（年間取扱高）_【百万円】,2019000000,2019
12901,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107120,産業別_旅館・ホテル_自社開拓加盟店数_【店】,2019000000,2019
253420,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107130,産業別_旅館・ホテル_年間売上高（年間取扱高）_【百万円】,2019000000,2019
610498,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107140,産業別_その他_自社開拓加盟店数_【店】,2019000000,2019
7258302,47,クレジットカード業，割賦金融業,00030,全数,01004000,従業者規模別_計,000107150,産業別_その他_年間売上高（年間取扱高）_【百万円】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01004010,従業者規模別_４人以下,000107010,企業数,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01004010,従業者規模別_４人以下,000107020,産業別_合計_自社開拓加盟店数_【店】,2019000000,2019
-,47,クレジットカード業，割賦金融業,00030,全数,01004010,従業者規模別_４人以下,000107030,産業別_合計_年間売上高（年間取扱高）_【百万円】,2019000000,2019
